List of Files in Test Directory with Pos and Neg Score based on Model File

Total Test Files ->200

FILENAME		                POS_SCORE		   NEG_SCORE
textcat/test\10066.txt		      -12990.8811633		-13058.6546226
textcat/test\10073.txt		      -15892.8749437		-15903.1599616
textcat/test\10171.txt		      -12815.0247086		-12726.5474367
textcat/test\10185.txt		      -3443.23508979		-3420.85967092
textcat/test\10220.txt		      -3326.10989844		-3333.04569388
textcat/test\10246.txt		      -6769.45201728		-6795.18179867
textcat/test\10267.txt		      -2802.09494097		-2818.21978662
textcat/test\10331.txt		      -9116.89251203		-9171.68272607
textcat/test\10583.txt		      -5438.69307566		-5462.34084103
textcat/test\10601.txt		      -7002.41912869		-6985.65234707
textcat/test\10681.txt		      -8907.54460765		-8965.78033752
textcat/test\10706.txt		      -6103.03660208		-6046.27471301
textcat/test\10718.txt		      -7062.62949605		-7063.43003603
textcat/test\10724.txt		      -5366.93060791		-5348.02452552
textcat/test\10800.txt		      -5709.31695128		-5656.34539203
textcat/test\10874.txt		      -7278.26193138		-7289.11234758
textcat/test\10926.txt		      -6069.12728073		-6096.32558435
textcat/test\10953.txt		      -4940.67924615		-4960.37752224
textcat/test\10981.txt		      -10697.1527348		-10750.0104875
textcat/test\11017.txt		       -2824.2243101		-2816.51284843
textcat/test\11051.txt		      -4780.66788966		-4837.41762713
textcat/test\11247.txt		      -5172.71900711		-5172.21567152
textcat/test\11316.txt		      -3340.48843357		-3318.52627977
textcat/test\11471.txt		      -9235.95270459		-9221.25074146
textcat/test\11491.txt		      -3955.01849452		-3967.73237545
textcat/test\11591.txt		      -11061.4006981		-11111.4900331
textcat/test\11592.txt		      -3777.03230758		-3808.06305804
textcat/test\11609.txt		      -8799.06964473		-8830.8529951
textcat/test\11790.txt		       -9100.4796531		-9023.41860308
textcat/test\11816.txt		      -8872.54814977		-8846.34786185
textcat/test\11851.txt		      -7119.58483067		-7043.08865325
textcat/test\11920.txt		      -14338.2158663		-14318.9574887
textcat/test\11934.txt		      -3659.54048935		-3659.06467112
textcat/test\11951.txt		      -8470.43966713		-8367.58184821
textcat/test\11962.txt		      -14749.6562544		-14761.5415028
textcat/test\12160.txt		      -10004.0801027		-10052.2206685
textcat/test\12162.txt		      -7812.09212957		-7874.33105525
textcat/test\12256.txt		      -12536.1981068		-12606.8502353
textcat/test\12270.txt		      -5898.74046408		-5881.84743579
textcat/test\12332.txt		       -8430.4990797		-8370.27111661
textcat/test\12350.txt		      -5921.64106115		-5927.87554161
textcat/test\12443.txt		       -3353.3269311		-3328.3120876
textcat/test\12447.txt		       -11571.233222		-11534.2551966
textcat/test\12547.txt		      -12451.1253055		-12335.8760526
textcat/test\12747.txt		        -5248.702725		-5256.23940343
textcat/test\12767.txt		      -6379.22616898		-6379.50891817
textcat/test\12806.txt		      -10075.6912609		-10027.649313
textcat/test\13012.txt		      -5874.53752884		-5835.90598791
textcat/test\13020.txt		      -6158.56509908		-6121.64973482
textcat/test\13106.txt		      -10737.1333498		-10771.650713
textcat/test\13217.txt		      -7523.74063608		-7465.75717266
textcat/test\13229.txt		      -8279.69981647		-8211.89074309
textcat/test\13250.txt		      -6271.68170695		-6282.07646418
textcat/test\13401.txt		      -6603.00209413		-6559.98562459
textcat/test\13475.txt		        -11157.55333		-11198.758624
textcat/test\13478.txt		      -13893.2114275		-13789.1361737
textcat/test\13521.txt		      -8449.08699857		-8461.40348828
textcat/test\13527.txt		      -12172.8643326		-12426.0536358
textcat/test\13988.txt		      -10638.0270599		-10583.5447036
textcat/test\14006.txt		      -5618.39301779		-5580.51567783
textcat/test\14111.txt		      -6335.88164193		-6402.22999974
textcat/test\14611.txt		      -4264.55674101		-4280.36232488
textcat/test\14636.txt		       -5995.1040994		-5979.19056868
textcat/test\14760.txt		      -2895.01966841		-2892.65096504
textcat/test\14854.txt		      -5169.88736578		-5118.21007831
textcat/test\14949.txt		      -5220.75672609		-5189.3669227
textcat/test\14989.txt		      -8300.85488533		-8321.46901775
textcat/test\15042.txt		      -7349.71190967		-7324.08641218
textcat/test\15092.txt		      -6303.14631218		-6265.41150658
textcat/test\15467.txt		       -6947.1158719		-7061.34339299
textcat/test\15691.txt		       -5984.0147037		-5935.02041507
textcat/test\15824.txt		      -8663.11980917		-8686.98134828
textcat/test\15954.txt		      -16554.2783333		-16607.6036224
textcat/test\16009.txt		      -16942.8859371		-16949.3465007
textcat/test\16218.txt		      -5813.94287651		-5747.03458494
textcat/test\16380.txt		      -6056.26141595		-6093.30159099
textcat/test\16679.txt		       -9158.7621817		-9131.15259594
textcat/test\16908.txt		      -10471.8873908		-10512.2058195
