List of Files in Test Directory with Pos and Neg Score based on Model File

Total Test Files ->200

FILENAME		                POS_SCORE		   NEG_SCORE
textcat/test\10066.txt		      -7536.38462301		-7591.11159368
textcat/test\10073.txt		      -10572.7486353		-10514.0740269
textcat/test\10171.txt		      -7637.98711018		-7519.22228357
textcat/test\10185.txt		      -2019.62604398		-2011.97929552
textcat/test\10220.txt		      -1776.44499451		-1784.8030315
textcat/test\10246.txt		      -3887.46345634		-3993.03619358
textcat/test\10267.txt		      -1568.28760091		-1593.80483065
textcat/test\10331.txt		      -5744.90721514		-5816.8939665
textcat/test\10583.txt		      -3280.86602706		-3297.90994837
textcat/test\10601.txt		      -3960.22401019		-3935.46410829
textcat/test\10681.txt		      -4828.40406059		-4913.39234668
textcat/test\10706.txt		      -3588.18570229		-3548.01133956
textcat/test\10718.txt		      -4322.80195185		-4346.09571181
textcat/test\10724.txt		      -2892.70295001		-2896.41288526
textcat/test\10800.txt		      -3164.13452596		-3117.8218091
textcat/test\10874.txt		      -3970.05932471		-4039.87969194
textcat/test\10926.txt		      -3481.37517887		-3497.5586018
textcat/test\10953.txt		      -2988.74817326		-3011.72025077
textcat/test\10981.txt		      -5987.53560118		-6068.68867352
textcat/test\11017.txt		      -1695.49960086		-1693.3773732
textcat/test\11051.txt		      -2775.11997765		-2884.85350315
textcat/test\11247.txt		      -2776.75853001		-2775.24851245
textcat/test\11316.txt		      -1958.11216999		-1951.37478654
textcat/test\11471.txt		      -5352.45798233		-5329.90494796
textcat/test\11491.txt		      -2138.85283923		-2146.02012977
textcat/test\11591.txt		      -6610.11869362		-6725.44258541
textcat/test\11592.txt		      -2099.35460952		-2130.52940495
textcat/test\11609.txt		      -4918.18049734		-4987.82267015
textcat/test\11790.txt		      -5013.44545249		-4953.5260391
textcat/test\11816.txt		      -5485.86358781		-5414.18528154
textcat/test\11851.txt		      -4389.40072798		-4245.92312659
textcat/test\11920.txt		      -8341.30376246		-8335.15164516
textcat/test\11934.txt		      -1836.90731261		-1836.49256918
textcat/test\11951.txt		      -5084.64145559		-4966.48194943
textcat/test\11962.txt		       -9329.1118967		-9250.66378102
textcat/test\12160.txt		      -6024.59813139		-6074.40907916
textcat/test\12162.txt		      -4085.83099149		-4171.78845255
textcat/test\12256.txt		         -7067.99481		-7171.50532845
textcat/test\12270.txt		       -3448.1229337		-3427.96743628
textcat/test\12332.txt		      -5338.47349059		-5273.62070132
textcat/test\12350.txt		      -3329.30009327		-3336.18046275
textcat/test\12443.txt		      -1931.58342604		-1907.80983613
textcat/test\12447.txt		      -6283.27034897		-6268.51804406
textcat/test\12547.txt		      -7827.96976684		-7677.27734499
textcat/test\12747.txt		      -2630.38666577		-2688.56470032
textcat/test\12767.txt		      -3402.76676671		-3439.50333257
textcat/test\12806.txt		        -6044.354748		-6003.62024474
textcat/test\13012.txt		      -3420.77252384		-3361.56037157
textcat/test\13020.txt		      -3538.07696083		-3527.73678198
textcat/test\13106.txt		      -6484.98038676		-6655.68648099
textcat/test\13217.txt		       -4307.8112045		-4248.10284876
textcat/test\13229.txt		      -5253.10569886		-5197.24195474
textcat/test\13250.txt		      -3605.86439462		-3636.8072162
textcat/test\13401.txt		      -3776.74088297		-3715.91987522
textcat/test\13475.txt		       -6326.8860618		-6410.92675262
textcat/test\13478.txt		      -8355.51240345		-8290.97080575
textcat/test\13521.txt		      -5123.76953669		-5137.25513014
textcat/test\13527.txt		      -7818.06805409		-7770.62261442
textcat/test\13988.txt		      -5954.38549312		-5889.92130809
textcat/test\14006.txt		      -2968.04369099		-2952.65367079
textcat/test\14111.txt		      -3832.51110266		-3896.43250823
textcat/test\14611.txt		      -2628.95403472		-2630.40229637
textcat/test\14636.txt		       -3254.7567969		-3239.93398124
textcat/test\14760.txt		      -1563.58932341		-1562.26545546
textcat/test\14854.txt		      -2955.77465438		-2916.2421992
textcat/test\14949.txt		      -2847.80473858		-2796.9912701
textcat/test\14989.txt		       -4272.3939139		-4331.73358373
textcat/test\15042.txt		      -3864.59297387		-3855.51016508
textcat/test\15092.txt		      -3359.00569104		-3344.49997219
textcat/test\15467.txt		      -4054.83586234		-4169.63910574
textcat/test\15691.txt		      -3548.19161553		-3522.23713734
textcat/test\15824.txt		       -5212.5256616		-5153.46741954
textcat/test\15954.txt		      -10023.7117523		-10182.8670112
textcat/test\16009.txt		      -10396.6826135		-10417.9371687
textcat/test\16218.txt		      -3517.70954789		-3450.13167797
textcat/test\16380.txt		      -3348.65241913		-3421.44724793
textcat/test\16679.txt		      -5376.67705655		-5362.74245163
textcat/test\16908.txt		      -6134.77634625		-6196.03863389
textcat/test\17034.txt		      -2955.05342305		-2895.08009116
textcat/test\17059.txt		      -3264.56917413		-3304.37792419
textcat/test\17082.txt		      -3903.25362222		-3910.71121737
textcat/test\17297.txt		      -2702.46623472		-2674.39054795
textcat/test\17473.txt		      -3655.70005619		-3592.38361544
textcat/test\17563.txt		      -1987.82581835		-2029.6297651
textcat/test\17705.txt		      -3920.21424095		-3952.30022032
textcat/test\17779.txt		      -6130.14270422		-6121.16036379
textcat/test\17822.txt		      -4723.62619546		-4794.76657615
textcat/test\18155.txt		       -3021.4822298		-2999.01394902
textcat/test\1841.txt		      -1863.91360186		-1845.08219522
textcat/test\18450.txt		      -4441.94988573		-4540.03334391
textcat/test\18471.txt		       -9787.3005827		-9899.25520268
textcat/test\18509.txt		      -4186.59882536		-4187.86645633
textcat/test\18628.txt		      -3124.58625402		-3132.19347697
textcat/test\18645.txt		      -3934.86381968		-3938.44707643
textcat/test\18658.txt		      -11882.0821148		-12265.6194503
textcat/test\18740.txt		      -5668.80171367		-5777.07339047
textcat/test\18783.txt		      -2279.40959482		-2298.61489019
textcat/test\18921.txt		        -5452.845167		-5463.8242149
textcat/test\18935.txt		      -1095.12154061		-1078.62090616
textcat/test\18981.txt		      -1912.79450113		-1913.137425
textcat/test\19027.txt		      -3054.48979167		-3086.94151851
textcat/test\19532.txt		       -5452.5163625		-5384.68550815
textcat/test\19932.txt		      -4593.20285295		-4626.41999884
textcat/test\19973.txt		       -4528.8866773		-4559.8221208
textcat/test\20084.txt		      -4620.57916879		-4541.04624156
textcat/test\20112.txt		      -5371.36100852		-5402.4944699
textcat/test\20168.txt		      -5217.40545178		-5161.24856824
textcat/test\20260.txt		      -3844.37070485		-3831.39833954
textcat/test\2029.txt		      -3888.39094699		-3862.85940223
textcat/test\20426.txt		      -5988.58262208		-5950.33442827
textcat/test\20488.txt		       -6727.7624885		-6785.12319753
textcat/test\20929.txt		      -5358.63284318		-5337.68006261
textcat/test\21103.txt		      -4046.78495577		-4101.53873284
textcat/test\21565.txt		      -5340.26004101		-5254.87255051
textcat/test\21695.txt		      -5649.63417692		-5510.22994991
textcat/test\21821.txt		      -4828.12441229		-4873.01924209
textcat/test\21930.txt		      -4047.26072208		-3945.75837059
textcat/test\22192.txt		        -4169.831814		-4243.08748317
textcat/test\22209.txt		      -2850.46218467		-2787.98920467
textcat/test\22488.txt		      -2154.57373168		-2184.51041547
textcat/test\22928.txt		      -4985.43291563		-5060.4806101
