List of Files in Test Directory with Pos and Neg Score based on Model File

Total Test Files ->200

FILENAME		                POS_SCORE		   NEG_SCORE
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\10066.txt		      -7369.67141962		-7378.3324023
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\10073.txt		      -10286.8258407		-10274.4905315
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\10171.txt		      -7389.22732922		-7361.60592781
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\10185.txt		      -1965.95257516		-1963.09233415
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\10220.txt		      -1735.27901529		-1736.13174912
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\10246.txt		      -3822.12660169		-3840.9677021
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\10267.txt		      -1537.21488295		-1542.2399833
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\10331.txt		      -5620.67418461		-5634.41384802
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\10583.txt		      -3207.22901693		-3211.18897499
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\10601.txt		      -3850.12185833		-3843.27528187
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\10681.txt		      -4735.94873154		-4754.68789827
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\10706.txt		      -3482.27140632		-3471.31180756
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\10718.txt		      -4228.72231806		-4234.26049969
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\10724.txt		      -2824.71186611		-2825.1495115
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\10800.txt		      -3072.90413024		-3060.48183052
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\10874.txt		      -3893.20521484		-3906.87686255
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\10926.txt		      -3405.98539287		-3408.26312863
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\10953.txt		      -2919.74071489		-2926.26377589
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\10981.txt		      -5868.72920717		-5887.92737111
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\11017.txt		      -1654.48913321		-1653.19095042
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\11051.txt		      -2729.09975855		-2748.03164443
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\11247.txt		      -2735.37646542		-2734.09720339
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\11316.txt		      -1911.34767616		-1908.97908636
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\11471.txt		       -5213.6329965		-5207.89898437
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\11491.txt		      -2081.14117907		-2084.65177494
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\11591.txt		      -6462.64375085		-6479.64169897
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\11592.txt		      -2059.00380409		-2065.70791941
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\11609.txt		      -4818.08972966		-4833.32407929
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\11790.txt		      -4851.79270287		-4840.84091827
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\11816.txt		      -5316.26501839		-5302.13804921
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\11851.txt		      -4191.59645014		-4167.20981887
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\11920.txt		      -8143.65194119		-8139.3747294
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\11934.txt		      -1794.58166438		-1793.82250527
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\11951.txt		      -4917.12073546		-4890.28826191
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\11962.txt		      -9059.80266163		-9043.56179105
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\12160.txt		      -5902.49299316		-5914.61730164
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\12162.txt		      -4012.85833289		-4030.32808754
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\12256.txt		      -6914.95715456		-6936.06012404
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\12270.txt		      -3347.37364331		-3342.97082455
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\12332.txt		      -5187.68266838		-5168.29342491
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\12350.txt		      -3250.48397397		-3251.3495201
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\12443.txt		      -1874.54742621		-1868.55759233
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\12447.txt		      -6127.67274343		-6123.19818361
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\12547.txt		      -7569.18757984		-7533.07519121
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\12747.txt		      -2577.92292458		-2589.6754365
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\12767.txt		      -3325.62458353		-3331.24919838
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\12806.txt		       -5879.4969553		-5865.99259412
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\13012.txt		      -3311.79797805		-3298.91005888
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\13020.txt		      -3445.05294882		-3442.22026079
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\13106.txt		      -6357.20279411		-6381.52281014
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\13217.txt		      -4162.53358353		-4147.18287338
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\13229.txt		      -5103.98863576		-5086.4617803
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\13250.txt		      -3534.04950268		-3540.37270835
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\13401.txt		      -3661.99872224		-3644.91783486
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\13475.txt		      -6203.84255947		-6223.20657306
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\13478.txt		      -8125.32297526		-8106.64117285
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\13521.txt		      -5000.10141851		-5001.04025519
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\13527.txt		      -7617.67539419		-7601.32196256
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\13988.txt		      -5781.02584113		-5765.10062426
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\14006.txt		      -2891.27751357		-2886.43805122
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\14111.txt		      -3751.49861397		-3767.92536355
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\14611.txt		      -2565.10996429		-2566.08375356
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\14636.txt		      -3169.67016955		-3165.13695288
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\14760.txt		      -1524.49731394		-1523.957391
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\14854.txt		      -2867.15933555		-2856.35147675
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\14949.txt		      -2755.09088409		-2742.40086871
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\14989.txt		      -4188.38543338		-4202.78402861
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\15042.txt		      -3760.24321532		-3757.04057198
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\15092.txt		      -3269.57168787		-3266.06154691
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\15467.txt		      -3986.01526666		-4013.25002419
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\15691.txt		      -3455.19161481		-3447.39394216
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\15824.txt		      -5032.34203923		-5028.47037576
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\15954.txt		      -9802.98768348		-9829.7357032
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\16009.txt		      -10145.6164186		-10144.0345937
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\16218.txt		      -3399.04157455		-3381.27656223
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\16380.txt		      -3285.49511293		-3300.9185339
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\16679.txt		      -5235.35267345		-5228.28446985
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\16908.txt		       -6000.5076986		-6010.93608593
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\17034.txt		      -2860.62526449		-2843.36668223
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\17059.txt		      -3200.47481045		-3209.19626304
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\17082.txt		      -3807.22991591		-3807.50211787
C:/Users/sarit/PycharmProjects/IR/Assignment6/textcat/test\17297.txt		       -2638.9064203		-2631.95430259
