List of Files in Test Directory with Pos and Neg Score based on Model File

Total Test Files ->200

FILENAME		                POS_SCORE		   NEG_SCORE
textcat/test\10066.txt		      -16348.1451335		-16327.5018334
textcat/test\10073.txt		      -20697.3510729		-20672.728481
textcat/test\10171.txt		      -15911.0400304		-15854.1796201
textcat/test\10185.txt		       -4229.6085699		-4211.53250923
textcat/test\10220.txt		       -3940.1550928		-3939.16945992
textcat/test\10246.txt		      -8029.15345974		-8022.50267469
textcat/test\10267.txt		      -3308.03896422		-3324.64297857
textcat/test\10331.txt		       -12147.407806		-12150.5518926
textcat/test\10583.txt		      -6729.23136821		-6736.65725941
textcat/test\10601.txt		      -8460.89527321		-8437.19408887
textcat/test\10681.txt		      -10914.6337785		-10929.9502248
textcat/test\10706.txt		      -7344.46302838		-7296.72386131
textcat/test\10718.txt		      -8595.61828926		-8580.47472195
textcat/test\10724.txt		      -6352.95832988		-6334.32807897
textcat/test\10800.txt		       -6733.1787544		-6712.45522736
textcat/test\10874.txt		      -8569.83675756		-8547.71349202
textcat/test\10926.txt		      -7266.86552848		-7290.89814426
textcat/test\10953.txt		       -6120.1037901		-6119.14901069
textcat/test\10981.txt		      -13157.7245373		-13166.3024904
textcat/test\11017.txt		      -3543.51220393		-3526.45200921
textcat/test\11051.txt		      -5886.09352241		-5903.26148133
textcat/test\11247.txt		      -6007.47832249		-6000.82439776
textcat/test\11316.txt		      -3992.61106676		-3992.44248588
textcat/test\11471.txt		       -11139.537423		-11099.6164092
textcat/test\11491.txt		      -4539.75146558		-4551.56991251
textcat/test\11591.txt		       -13807.162519		-13802.7002152
textcat/test\11592.txt		       -4511.5844859		-4518.63975047
textcat/test\11609.txt		       -10742.627099		-10743.7516978
textcat/test\11790.txt		       -10767.829805		-10695.1115155
textcat/test\11816.txt		      -10925.2864577		-10884.5735119
textcat/test\11851.txt		      -8726.18513441		-8685.49667531
textcat/test\11920.txt		      -18083.0458436		-18034.8405839
textcat/test\11934.txt		      -4220.40815458		-4237.38598078
textcat/test\11951.txt		      -10255.3625034		-10177.4365219
textcat/test\11962.txt		      -18934.7421848		-18900.2776455
textcat/test\12160.txt		      -12334.4117185		-12329.0646816
textcat/test\12162.txt		      -9073.02261071		-9079.38178731
textcat/test\12256.txt		      -15236.2054234		-15248.4238837
textcat/test\12270.txt		      -7051.36750914		-7045.82362695
textcat/test\12332.txt		      -10912.1161629		-10861.9285869
textcat/test\12350.txt		      -6998.03186672		-6984.68214392
textcat/test\12443.txt		      -3977.70224496		-3964.08893548
textcat/test\12447.txt		      -14047.8744437		-14001.5105777
textcat/test\12547.txt		      -15467.6146603		-15360.3035842
textcat/test\12747.txt		      -6334.91892631		-6331.54026041
textcat/test\12767.txt		      -7452.10043828		-7440.83184853
textcat/test\12806.txt		      -12354.1184566		-12314.0723748
textcat/test\13012.txt		      -6902.01388893		-6889.63310679
textcat/test\13020.txt		      -7429.25463841		-7388.34802975
textcat/test\13106.txt		      -13576.5335235		-13557.5149054
textcat/test\13217.txt		      -9391.61737045		-9334.88348063
textcat/test\13229.txt		      -10416.5590005		-10364.4436975
textcat/test\13250.txt		       -7340.6394115		-7346.83548397
textcat/test\13401.txt		      -7980.73560702		-7945.4410898
textcat/test\13475.txt		      -13394.8377575		-13393.1688361
textcat/test\13478.txt		      -17760.5971118		-17670.0121211
textcat/test\13521.txt		      -10406.2125862		-10404.8840151
textcat/test\13527.txt		       -15343.657514		-15971.9575297
textcat/test\13988.txt		      -12563.7739979		-12526.7082249
textcat/test\14006.txt		      -6371.78037584		-6351.3544498
textcat/test\14111.txt		      -7884.19299041		-7903.78380121
textcat/test\14611.txt		      -5319.71232884		-5311.3076076
textcat/test\14636.txt		      -7134.05259371		-7113.12305777
textcat/test\14760.txt		      -3423.43059911		-3412.42816295
textcat/test\14854.txt		      -6070.18192217		-6034.93834579
textcat/test\14949.txt		      -6224.11265837		-6201.80178957
textcat/test\14989.txt		      -9778.36162445		-9768.02992983
textcat/test\15042.txt		      -8749.06220207		-8691.3181313
textcat/test\15092.txt		       -7357.9685917		-7326.60016696
textcat/test\15467.txt		      -8595.64214138		-8629.3089769
textcat/test\15691.txt		      -7297.79686579		-7257.50377089
textcat/test\15824.txt		      -10619.1463083		-10605.112548
textcat/test\15954.txt		      -21348.5958145		-21355.2103864
textcat/test\16009.txt		      -21809.2680421		-21768.6592135
textcat/test\16218.txt		      -7162.67971716		-7124.55985653
textcat/test\16380.txt		      -7181.76900835		-7184.69052981
textcat/test\16679.txt		      -11324.6530433		-11290.8521965
textcat/test\16908.txt		      -12837.7882396		-12820.2197805
textcat/test\17034.txt		      -6164.83646405		-6116.4428311
textcat/test\17059.txt		      -6676.84121029		-6700.00762657
textcat/test\17082.txt		      -8278.13861132		-8281.59592033
textcat/test\17297.txt		      -5790.06475119		-5761.09412775
textcat/test\17473.txt		      -7376.19877182		-7322.70623247
textcat/test\17563.txt		      -4213.03320137		-4226.7257206
textcat/test\17705.txt		      -8593.66780432		-8594.99889127
textcat/test\17779.txt		      -12496.0685049		-12460.936617
textcat/test\17822.txt		      -9628.72301625		-9636.47303497
textcat/test\18155.txt		      -6186.41852228		-6159.41554112
textcat/test\1841.txt		      -3776.53736133		-3757.6816171
textcat/test\18450.txt		      -8944.61843406		-8959.64821695
textcat/test\18471.txt		      -19704.7129873		-19696.0479862
textcat/test\18509.txt		       -8765.9632502		-8709.45559176
textcat/test\18628.txt		       -6383.2688905		-6374.50253449
textcat/test\18645.txt		      -8457.09356542		-8431.44453509
textcat/test\18658.txt		      -23800.7451711		-23878.2368699
textcat/test\18740.txt		      -11830.0172921		-11845.9924853
textcat/test\18783.txt		      -5103.22707118		-5078.42040561
textcat/test\18921.txt		      -11837.6104324		-11799.6418088
textcat/test\18935.txt		      -2229.14847518		-2209.47150758
textcat/test\18981.txt		       -4284.6763286		-4278.5926644
textcat/test\19027.txt		      -6637.86517789		-6631.13177575
textcat/test\19532.txt		      -11087.3342894		-11042.5769813
textcat/test\19932.txt		      -9643.19433667		-9618.5149803
textcat/test\19973.txt		       -9527.2018855		-9502.11620242
textcat/test\20084.txt		      -9240.99739582		-9195.31676192
textcat/test\20112.txt		      -11424.4668948		-11407.30644
textcat/test\20168.txt		      -9834.15937983		-9768.08544574
textcat/test\20260.txt		      -7995.39225613		-7975.84458391
textcat/test\2029.txt		      -8074.85688052		-8036.18927726
textcat/test\20426.txt		      -12017.4496814		-11964.9548197
